"X","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","dbscan","kmeans","som"
0,-122.23,452600,129,41,880,3,126,322,83.252,37.88,1,3,1
1,-122.22,358500,1106,21,7099,3,1138,2401,83.014,37.86,0,2,2
2,-122.24,352100,190,52,1467,3,177,496,72.574,37.85,1,3,1
3,-122.25,341300,235,52,1274,3,219,558,56.431,37.85,1,1,1
4,-122.25,342200,280,52,1627,3,259,565,38.462,37.85,1,1,1
5,-122.25,269700,213,52,919,3,193,413,40.368,37.85,1,1,1
6,-122.25,299200,489,52,2535,3,514,1094,36.591,37.84,1,1,1
7,-122.25,241400,687,52,3104,3,647,1157,3.12,37.84,1,1,1
8,-122.26,226700,665,42,2555,3,595,1206,20.804,37.84,1,1,1
9,-122.25,261100,707,52,3549,3,714,1551,36.912,37.84,1,1,1
10,-122.26,281500,434,52,2202,3,402,910,32.031,37.85,1,1,1
11,-122.26,241800,752,52,3503,3,734,1504,32.705,37.85,1,1,1
12,-122.26,213500,474,52,2491,3,468,1098,3.075,37.85,1,1,1
13,-122.26,191300,191,52,696,3,174,345,26.736,37.84,1,1,1
14,-122.26,159200,626,52,2643,3,620,1212,19.167,37.85,1,1,1
15,-122.26,140000,283,50,1120,3,264,697,2.125,37.85,1,1,1
16,-122.27,152500,347,52,1966,3,331,793,2.775,37.85,1,1,1
17,-122.27,155500,293,52,1228,3,303,648,21.202,37.85,1,1,1
18,-122.26,158700,455,50,2239,3,419,990,19.911,37.84,1,1,1
19,-122.27,162900,298,52,1503,3,275,690,26.033,37.84,1,1,1
20,-122.27,147500,184,40,751,3,166,409,13.578,37.85,1,1,1
21,-122.27,159800,367,42,1639,3,366,929,17.135,37.85,1,1,1
22,-122.27,113900,541,52,2436,3,478,1015,1.725,37.84,1,1,1
23,-122.27,99700,337,52,1688,3,325,853,21.806,37.84,1,1,1
24,-122.27,132600,437,52,2224,3,422,1006,2.6,37.84,1,1,1
25,-122.28,107500,123,41,535,3,119,317,24.038,37.85,1,1,1
26,-122.28,93800,244,49,1130,3,239,607,24.597,37.85,1,1,1
27,-122.28,105500,421,52,1898,3,397,1102,1.808,37.85,1,1,1
28,-122.28,108900,492,50,2082,3,473,1131,16.424,37.84,1,1,1
29,-122.28,132000,160,52,729,3,155,395,16.875,37.84,1,1,1
30,-122.28,122300,447,49,1916,3,378,863,19.274,37.84,1,1,1
31,-122.28,115200,481,52,2153,3,441,1168,19.615,37.84,1,1,1
32,-122.27,110400,409,48,1922,3,335,1026,17.969,37.84,1,1,1
33,-122.27,104900,366,49,1655,3,329,754,1.375,37.83,1,1,1
34,-122.27,109700,574,51,2665,3,536,1258,27.303,37.83,1,1,1
35,-122.27,97200,282,49,1215,3,264,570,14.861,37.83,1,1,1
36,-122.27,104500,432,48,1798,3,374,987,10.972,37.83,1,1,1
37,-122.28,103900,390,52,1511,3,403,901,14.103,37.83,1,1,1
38,-122.26,191400,330,52,1470,3,309,689,3.48,37.83,1,1,1
39,-122.26,176000,715,52,2432,3,696,1377,25.898,37.83,1,1,1
40,-122.26,155400,419,52,1665,3,395,946,20.978,37.83,1,1,1
41,-122.26,150000,311,51,936,3,249,517,12.852,37.83,1,1,1
42,-122.26,118800,202,49,713,3,189,462,1.025,37.84,1,1,1
43,-122.26,188800,202,52,950,3,198,467,39.643,37.84,1,1,1
44,-122.26,184400,311,52,1443,3,292,660,30.125,37.83,1,1,1
45,-122.26,182300,420,52,1656,3,382,718,26.768,37.83,1,1,1
46,-122.26,142500,322,50,1125,3,304,616,2.026,37.83,1,1,1
47,-122.27,137500,312,43,1007,3,253,558,17.348,37.82,1,1,1
48,-122.26,187500,195,40,624,3,160,423,0.9506,37.82,1,1,1
49,-122.27,112500,375,40,946,3,352,700,1.775,37.82,1,1,1
50,-122.27,171900,453,21,896,3,438,735,0.9218,37.82,1,1,1
51,-122.27,93800,456,43,1868,3,407,1061,15.045,37.82,1,1,1
52,-122.27,97500,853,41,3221,3,720,1959,11.108,37.82,1,1,1
53,-122.27,104200,456,52,1630,3,400,1162,12.475,37.82,1,1,1
54,-122.28,87500,235,52,1170,3,233,701,16.098,37.82,1,1,1
55,-122.28,83100,243,52,945,3,220,576,14.113,37.82,1,1,1
56,-122.28,87500,288,52,1238,3,259,622,15.057,37.82,1,1,1
