,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,-122.23,452600.0,129.0,41.0,880.0,3,126.0,322.0,83.25200000000001,37.88
1,-122.22,358500.0,1106.0,21.0,7099.0,3,1138.0,2401.0,83.014,37.86
2,-122.24,352100.0,190.0,52.0,1467.0,3,177.0,496.0,72.574,37.85
3,-122.25,341300.0,235.0,52.0,1274.0,3,219.0,558.0,56.431000000000004,37.85
4,-122.25,342200.0,280.0,52.0,1627.0,3,259.0,565.0,38.461999999999996,37.85
5,-122.25,269700.0,213.0,52.0,919.0,3,193.0,413.0,40.368,37.85
6,-122.25,299200.0,489.0,52.0,2535.0,3,514.0,1094.0,36.591,37.84
7,-122.25,241400.0,687.0,52.0,3104.0,3,647.0,1157.0,3.12,37.84
8,-122.26,226700.0,665.0,42.0,2555.0,3,595.0,1206.0,20.804000000000002,37.84
9,-122.25,261100.0,707.0,52.0,3549.0,3,714.0,1551.0,36.912,37.84
10,-122.26,281500.0,434.0,52.0,2202.0,3,402.0,910.0,32.031,37.85
11,-122.26,241800.0,752.0,52.0,3503.0,3,734.0,1504.0,32.705,37.85
12,-122.26,213500.0,474.0,52.0,2491.0,3,468.0,1098.0,3.075,37.85
13,-122.26,191300.0,191.0,52.0,696.0,3,174.0,345.0,26.736,37.84
14,-122.26,159200.0,626.0,52.0,2643.0,3,620.0,1212.0,19.167,37.85
15,-122.26,140000.0,283.0,50.0,1120.0,3,264.0,697.0,2.125,37.85
16,-122.27,152500.0,347.0,52.0,1966.0,3,331.0,793.0,2.775,37.85
17,-122.27,155500.0,293.0,52.0,1228.0,3,303.0,648.0,21.201999999999998,37.85
18,-122.26,158700.0,455.0,50.0,2239.0,3,419.0,990.0,19.910999999999998,37.84
19,-122.27,162900.0,298.0,52.0,1503.0,3,275.0,690.0,26.033,37.84
20,-122.27,147500.0,184.0,40.0,751.0,3,166.0,409.0,13.578,37.85
21,-122.27,159800.0,367.0,42.0,1639.0,3,366.0,929.0,17.135,37.85
22,-122.27,113900.0,541.0,52.0,2436.0,3,478.0,1015.0,1.725,37.84
23,-122.27,99700.0,337.0,52.0,1688.0,3,325.0,853.0,21.805999999999997,37.84
24,-122.27,132600.0,437.0,52.0,2224.0,3,422.0,1006.0,2.6,37.84
25,-122.28,107500.0,123.0,41.0,535.0,3,119.0,317.0,24.038,37.85
26,-122.28,93800.0,244.0,49.0,1130.0,3,239.0,607.0,24.596999999999998,37.85
27,-122.28,105500.0,421.0,52.0,1898.0,3,397.0,1102.0,1.808,37.85
28,-122.28,108900.0,492.0,50.0,2082.0,3,473.0,1131.0,16.424,37.84
29,-122.28,132000.0,160.0,52.0,729.0,3,155.0,395.0,16.875,37.84
30,-122.28,122300.0,447.0,49.0,1916.0,3,378.0,863.0,19.274,37.84
31,-122.28,115200.0,481.0,52.0,2153.0,3,441.0,1168.0,19.615,37.84
32,-122.27,110400.0,409.0,48.0,1922.0,3,335.0,1026.0,17.969,37.84
33,-122.27,104900.0,366.0,49.0,1655.0,3,329.0,754.0,1.375,37.83
34,-122.27,109700.0,574.0,51.0,2665.0,3,536.0,1258.0,27.303,37.83
35,-122.27,97200.0,282.0,49.0,1215.0,3,264.0,570.0,14.860999999999999,37.83
36,-122.27,104500.0,432.0,48.0,1798.0,3,374.0,987.0,10.972000000000001,37.83
37,-122.28,103900.0,390.0,52.0,1511.0,3,403.0,901.0,14.103,37.83
38,-122.26,191400.0,330.0,52.0,1470.0,3,309.0,689.0,3.48,37.83
39,-122.26,176000.0,715.0,52.0,2432.0,3,696.0,1377.0,25.898000000000003,37.83
40,-122.26,155400.0,419.0,52.0,1665.0,3,395.0,946.0,20.978,37.83
41,-122.26,150000.0,311.0,51.0,936.0,3,249.0,517.0,12.852,37.83
42,-122.26,118800.0,202.0,49.0,713.0,3,189.0,462.0,1.025,37.84
43,-122.26,188800.0,202.0,52.0,950.0,3,198.0,467.0,39.643,37.84
44,-122.26,184400.0,311.0,52.0,1443.0,3,292.0,660.0,30.125,37.83
45,-122.26,182300.0,420.0,52.0,1656.0,3,382.0,718.0,26.768,37.83
46,-122.26,142500.0,322.0,50.0,1125.0,3,304.0,616.0,2.026,37.83
47,-122.27,137500.0,312.0,43.0,1007.0,3,253.0,558.0,17.348,37.82
48,-122.26,187500.0,195.0,40.0,624.0,3,160.0,423.0,0.9506,37.82
49,-122.27,112500.0,375.0,40.0,946.0,3,352.0,700.0,1.775,37.82
50,-122.27,171900.0,453.0,21.0,896.0,3,438.0,735.0,0.9218,37.82
51,-122.27,93800.0,456.0,43.0,1868.0,3,407.0,1061.0,15.045,37.82
52,-122.27,97500.0,853.0,41.0,3221.0,3,720.0,1959.0,11.107999999999999,37.82
53,-122.27,104200.0,456.0,52.0,1630.0,3,400.0,1162.0,12.475,37.82
54,-122.28,87500.0,235.0,52.0,1170.0,3,233.0,701.0,16.098,37.82
55,-122.28,83100.0,243.0,52.0,945.0,3,220.0,576.0,14.113,37.82
56,-122.28,87500.0,288.0,52.0,1238.0,3,259.0,622.0,15.057,37.82
57,-122.28,85300.0,335.0,52.0,1489.0,3,244.0,728.0,0.8172,37.82
58,-122.28,80300.0,341.0,52.0,1387.0,3,304.0,1074.0,12.171,37.82
59,-122.29,60000.0,43.0,2.0,158.0,3,57.0,94.0,25.625,37.82
60,-122.29,75700.0,211.0,52.0,1121.0,3,187.0,554.0,33.929,37.83
61,-122.29,75000.0,29.0,49.0,135.0,3,23.0,86.0,61.183,37.82
62,-122.29,86100.0,190.0,50.0,760.0,3,122.0,377.0,0.9011,37.81
63,-122.3,76100.0,237.0,52.0,1224.0,3,159.0,521.0,1.1909999999999998,37.81
64,-122.3,73500.0,182.0,48.0,828.0,3,133.0,392.0,25.938000000000002,37.81
65,-122.3,78400.0,209.0,52.0,1010.0,3,187.0,604.0,11.667,37.81
66,-122.3,84400.0,354.0,48.0,1455.0,3,332.0,788.0,0.8056,37.81
67,-122.29,81300.0,244.0,52.0,1027.0,3,147.0,492.0,26.094,37.8
68,-122.3,85000.0,109.0,52.0,572.0,3,82.0,274.0,18.516,37.81
69,-122.29,129200.0,644.0,46.0,2801.0,3,611.0,1823.0,0.9802,37.81
70,-122.29,82500.0,152.0,26.0,768.0,3,127.0,392.0,17.719,37.81
71,-122.29,95200.0,297.0,46.0,935.0,3,277.0,582.0,0.7286,37.81
72,-122.29,75000.0,204.0,49.0,844.0,3,152.0,560.0,1.75,37.81
73,-122.29,67500.0,4.0,46.0,12.0,3,7.0,18.0,0.4999,37.81
74,-122.29,137500.0,161.0,20.0,835.0,3,133.0,290.0,2.483,37.81
75,-122.28,177500.0,462.0,17.0,1237.0,3,439.0,762.0,0.9241,37.81
76,-122.28,102100.0,562.0,36.0,2914.0,3,509.0,1236.0,24.464000000000002,37.81
77,-122.28,108300.0,243.0,19.0,1207.0,3,207.0,721.0,11.110999999999999,37.81
78,-122.29,112500.0,374.0,23.0,1745.0,3,325.0,1054.0,0.8026,37.81
79,-122.28,131300.0,176.0,38.0,684.0,3,155.0,344.0,20.114,37.8
80,-122.28,162500.0,289.0,17.0,924.0,3,289.0,609.0,1.5,37.81
81,-122.27,112500.0,56.0,52.0,210.0,3,56.0,183.0,11.667,37.81
82,-122.28,112500.0,97.0,52.0,340.0,3,87.0,200.0,15.208,37.81
83,-122.28,137500.0,164.0,52.0,386.0,3,155.0,346.0,0.8075,37.81
84,-122.28,118800.0,184.0,35.0,948.0,3,169.0,467.0,18.088,37.81
85,-122.28,98200.0,143.0,52.0,773.0,3,115.0,377.0,24.083000000000002,37.81
86,-122.27,118800.0,451.0,40.0,880.0,3,380.0,582.0,0.977,37.81
87,-122.27,162500.0,348.0,10.0,875.0,3,330.0,546.0,0.76,37.81
88,-122.27,137500.0,42.0,10.0,105.0,3,39.0,125.0,0.9722,37.8
89,-122.27,500001.0,78.0,52.0,249.0,3,85.0,396.0,12.434000000000001,37.8
90,-122.27,162500.0,392.0,16.0,994.0,3,362.0,800.0,20.938000000000002,37.8
91,-122.28,137500.0,87.0,52.0,215.0,3,88.0,904.0,0.8668,37.8
92,-122.28,162500.0,31.0,52.0,96.0,3,34.0,191.0,0.75,37.8
93,-122.27,187500.0,347.0,27.0,1055.0,3,302.0,718.0,26.354,37.79
94,-122.27,179200.0,623.0,39.0,1715.0,3,467.0,1327.0,18.477,37.8
95,-122.26,130000.0,2477.0,36.0,5329.0,3,2323.0,3469.0,20.096,37.8
96,-122.26,183800.0,1331.0,31.0,4596.0,3,1180.0,2048.0,28.345,37.82
97,-122.26,125000.0,107.0,29.0,335.0,3,91.0,202.0,20.062,37.81
98,-122.26,170000.0,1270.0,22.0,3682.0,3,1250.0,2024.0,12.185,37.82
99,-122.26,193100.0,1085.0,37.0,3633.0,3,980.0,1838.0,26.104,37.82
100,-122.25,257800.0,1414.0,29.0,4656.0,3,1250.0,2304.0,24.912,37.81
101,-122.25,273400.0,1603.0,28.0,5806.0,3,1497.0,2563.0,32.177,37.81
102,-122.25,237500.0,242.0,39.0,854.0,3,228.0,389.0,3.125,37.81
103,-122.25,350000.0,701.0,52.0,2155.0,3,613.0,895.0,25.795,37.81
104,-122.26,335700.0,1914.0,34.0,5871.0,3,1789.0,2689.0,28.406,37.81
105,-122.24,313400.0,225.0,52.0,1509.0,3,244.0,674.0,49.306000000000004,37.82
106,-122.24,268500.0,482.0,52.0,2026.0,3,456.0,709.0,32.727,37.81
107,-122.25,259400.0,460.0,52.0,1758.0,3,422.0,686.0,31.691,37.81
108,-122.24,275700.0,751.0,52.0,3481.0,3,718.0,1444.0,3.9,37.82
109,-122.25,225000.0,855.0,28.0,3337.0,3,802.0,1520.0,39.063,37.82
110,-122.25,262500.0,289.0,52.0,1424.0,3,253.0,550.0,50.917,37.82
111,-122.25,218500.0,1098.0,32.0,3809.0,3,1022.0,1806.0,26.429000000000002,37.82
112,-122.25,255000.0,1196.0,26.0,3959.0,3,1217.0,1749.0,30.233,37.82
113,-122.25,224100.0,559.0,52.0,2376.0,3,519.0,939.0,31.484,37.83
114,-122.25,243100.0,428.0,35.0,1613.0,3,422.0,675.0,34.722,37.83
115,-122.25,231600.0,287.0,52.0,1279.0,3,291.0,534.0,31.429000000000002,37.83
116,-122.25,218500.0,1750.0,28.0,5022.0,3,1661.0,2558.0,24.234,37.83
117,-122.25,234100.0,1105.0,52.0,4190.0,3,1037.0,1786.0,30.897,37.83
118,-122.23,327600.0,399.0,50.0,2515.0,3,373.0,970.0,58.596000000000004,37.84
119,-122.23,347600.0,454.0,47.0,3175.0,3,485.0,1098.0,52.868,37.84
120,-122.24,366100.0,406.0,41.0,2576.0,3,376.0,794.0,5.956,37.83
121,-122.24,335000.0,54.0,37.0,334.0,3,47.0,98.0,49.643,37.85
122,-122.23,373600.0,411.0,52.0,2800.0,3,403.0,1061.0,63.434,37.85
123,-122.24,389500.0,574.0,52.0,3529.0,3,555.0,1177.0,51.773,37.84
124,-122.24,391100.0,365.0,52.0,2612.0,3,367.0,901.0,72.354,37.85
125,-122.22,337300.0,1048.0,28.0,5287.0,3,956.0,2031.0,5.457000000000001,37.85
126,-122.22,295200.0,473.0,50.0,2935.0,3,479.0,1031.0,7.5,37.84
127,-122.21,292300.0,597.0,44.0,3424.0,3,597.0,1358.0,60.193999999999996,37.84
128,-122.21,411500.0,674.0,40.0,4991.0,3,654.0,1616.0,75.544,37.83
129,-122.2,311500.0,346.0,30.0,2211.0,3,343.0,844.0,60.666000000000004,37.84
130,-122.21,325900.0,490.0,34.0,3038.0,3,496.0,1140.0,70.548,37.84
131,-122.19,392600.0,210.0,18.0,1617.0,3,194.0,533.0,116.01700000000001,37.84
132,-122.2,319300.0,460.0,35.0,2865.0,3,443.0,1072.0,74.882,37.84
133,-122.21,333300.0,788.0,34.0,5065.0,3,766.0,1627.0,68.976,37.83
134,-122.19,335200.0,184.0,28.0,1326.0,3,190.0,463.0,82.04899999999999,37.83
135,-122.2,351200.0,223.0,26.0,1589.0,3,211.0,542.0,8.401,37.83
136,-122.19,368900.0,271.0,29.0,1791.0,3,269.0,661.0,68.538,37.83
